database_type,database,dataset,action,time
CouchDB,ASOS_2022,grades,read,0.4685957431793213
CouchDB,ASOS_2022,products,read,0.019321918487548828
CouchDB,ASOS_2022,profiles,read,2.492668390274048
CouchDB,ASOS_2022,restaurant,read,4.190734386444092
CouchDB,ASOS_2022,students,read,0.3379063606262207
CouchDB,ASOS_2022,books,delete,0.06325650215148926
CouchDB,ASOS_2022,countries-small,delete,0.04895663261413574
CouchDB,ASOS_2022,covers,delete,0.04812431335449219
CouchDB,ASOS_2022,data,delete,0.04876971244812012
CouchDB,ASOS_2022,grades,delete,0.049500226974487305
CouchDB,ASOS_2022,products,delete,0.048627614974975586
CouchDB,ASOS_2022,profiles,delete,0.055664777755737305
CouchDB,ASOS_2022,restaurant,delete,0.07869744300842285
CouchDB,ASOS_2022,students,delete,0.07137584686279297
CouchDB,ASOS_2022,books,insert,8.694812774658203
CouchDB,ASOS_2022,countries-small,insert,5.918669700622559
CouchDB,ASOS_2022,covers,insert,112.12015056610107
CouchDB,ASOS_2022,data,insert,1.1925909519195557
CouchDB,ASOS_2022,grades,insert,6.4043073654174805
CouchDB,ASOS_2022,products,insert,0.27915000915527344
CouchDB,ASOS_2022,profiles,insert,32.87456011772156
CouchDB,ASOS_2022,restaurant,insert,55.55185294151306
CouchDB,ASOS_2022,students,insert,4.228984355926514
CouchDB,ASOS_2022,books,read,1.1073310375213623
CouchDB,ASOS_2022,countries-small,read,0.6154932975769043
CouchDB,ASOS_2022,covers,read,8.394471406936646
CouchDB,ASOS_2022,data,read,0.10225391387939453
CouchDB,ASOS_2022,data,update,1.2984704971313477
CouchDB,ASOS_2022,grades,read,0.4664278030395508
